"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200417","MS","    Mississippi ","169","2986530","3.68320","10","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200415","MS","    Mississippi ","273","2986530","3.68320","11","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200411","MS","    Mississippi ","173","2986530","3.68320","8","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200427","PA","    Pennsylvania ","885","12807060","3.66985","211","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200430","LA","    Louisiana ","341","4659978","3.64809","73","48401","89","41.64495","0.069","Democrata","0.080","0.041"
"20200423","NE","    Nebraska.","91","1929268","3.62832","39","55712","98","9.69612","0.042","Republicano","0.090","0.029"
"20200429","NV","    Nevada ","93","3034392","3.62511","174","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200415","NV","    Nevada ","123","3034392","3.62511","191","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200403","IN","    Indiana ","398","6691878","3.58644","121","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200404","WA","    Washington ","368","7535591","3.58300","285","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200430","VA","    Virginia ","885","8517685","3.52208","104","60778","77","83.27925","0.033","Democrata","0.090","0.027"
"20200429","VA","    Virginia ","1167","8517685","3.52208","103","60778","77","83.27925","0.033","Democrata","0.090","0.027"
"20200422","GA","    Georgia ","859","10519475","3.51729","342","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200414","GA","    Georgia ","908","10519475","3.51729","474","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200410","GA","    Georgia ","917","10519475","3.51729","236","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200425","PA","    Pennsylvania ","1397","12807060","3.51369","189","59341","57","110.51640","0.060","Democrata","0.060","0.043"
