"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200501","SC","    South Carolina ","163","5084127","2.36029","31","45671","80","65.30033","0.026","Republicano","0.110","0.034"
"20200408","SC","    South Carolina ","135","5084127","2.36029","48","45671","80","65.30033","0.026","Republicano","0.110","0.034"
"20200424","CA","    California ","1885","39557045","2.35104","210","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200430","FL","    Florida ","497","21299325","2.34749","144","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200421","FL","    Florida ","835","21299325","2.34749","140","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200419","MS","    Mississippi ","300","2986530","2.34386","9","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200416","MS","    Mississippi ","264","2986530","2.34386","10","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200429","AR","    Arkansas ","81","3013825","2.32263","23","45345","108","22.36273","0.048","Republicano","0.080","0.047"
"20200409","MD","    Maryland ","656","6042718","2.31684","241","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200405","MD","    Maryland ","484","6042718","2.31684","260","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200419","MN","    Minnesota ","143","5611179","2.31680","170","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200430","NC","    North Carolina ","561","10383620","2.31133","461","48207","59","82.46204","0.044","Democrata","0.110","0.034"
"20200501","OH","    Ohio ","716","11689442","2.30978","36","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200430","NV","    Nevada ","100","3034392","2.30689","180","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200425","NV","    Nevada ","141","3034392","2.30689","162","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200501","CA","    California ","1525","39557045","2.30048","223","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200427","MO","    Missouri ","174","6126452","2.28517","127","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200415","MO","    Missouri ","209","6126452","2.28517","132","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200407","MO","    Missouri ","315","6126452","2.28517","186","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200424","OK","    Oklahoma ","104","3943079","2.28248","40","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200423","OK","    Oklahoma ","123","3943079","2.28248","40","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200414","OK","    Oklahoma ","115","3943079","2.28248","39","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200402","GA","    Georgia ","710","10519475","2.28148","673","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200429","SD","    South Dakota ","60","882235","2.26697","12","54842","113","4.49318","0.033","Republicano","0.090","0.036"
"20200407","SD","    South Dakota ","32","882235","2.26697","16","54842","113","4.49318","0.033","Republicano","0.090","0.036"
"20200406","SD","    South Dakota ","48","882235","2.26697","20","54842","113","4.49318","0.033","Republicano","0.090","0.036"
"20200409","PA","    Pennsylvania ","1989","12807060","2.26438","251","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200419","WA","    Washington ","259","7535591","2.25596","187","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200413","WA","    Washington ","189","7535591","2.25596","215","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200410","WA","    Washington ","449","7535591","2.25596","210","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200411","FL","    Florida ","963","21299325","2.25359","301","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200417","AL","    Alabama ","185","4887871","2.25047","28","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200415","AL","    Alabama ","237","4887871","2.25047","29","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200414","AL","    Alabama ","142","4887871","2.25047","30","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200411","AL","    Alabama ","223","4887871","2.25047","29","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200425","CA","    California ","1883","39557045","2.24992","176","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200425","ME","    Maine ","25","1338404","2.24148","57","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200424","ME","    Maine ","28","1338404","2.24148","74","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200422","ME","    Maine ","19","1338404","2.24148","68","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200418","ME","    Maine ","20","1338404","2.24148","57","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200416","ME","    Maine ","26","1338404","2.24148","74","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200430","KY","    Kentucky ","164","4468402","2.23794","43","44591","87","43.69293","0.058","Democrata","0.060","0.047"
"20200430","AZ","    Arizona ","446","7171646","2.23101","250","46691","53","24.37618","0.055","Republicano","0.100","0.035"
"20200419","VA","    Virginia ","484","8517685","2.23065","112","60778","77","83.27925","0.033","Democrata","0.090","0.027"
"20200408","OH","    Ohio ","366","11689442","2.22423","67","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200422","IA","    Iowa ","107","3156145","2.21790","26","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200416","IA","    Iowa ","146","3156145","2.21790","32","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200412","IA","    Iowa ","77","3156145","2.21790","31","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200414","TN","    Tennessee ","213","6318676","2.21565","126","49272","99","63.39068","0.035","Republicano","0.090","0.035"
"20200409","TN","    Tennessee ","272","6318676","2.21565","170","49272","99","63.39068","0.035","Republicano","0.090","0.035"
"20200424","NH","    New Hampshire ","82","1356458","2.21164","22","64197","82","58.49777","0.026","Republicano","0.060","0.037"
"20200420","NH","    New Hampshire ","50","1356458","2.21164","22","64197","82","58.49777","0.026","Republicano","0.060","0.037"
"20200410","NH","    New Hampshire ","31","1356458","2.21164","22","64197","82","58.49777","0.026","Republicano","0.060","0.037"
"20200418","CA","    California ","1435","39557045","2.19936","190","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200418","GA","    Georgia ","475","10519475","2.18642","286","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200422","CA","    California ","2135","39557045","2.17408","209","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200401","MD","    Maryland ","325","6042718","2.15135","301","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200429","OR","    Oregon ","92","4190713","2.14761","63","53402","81","16.85672","0.033","Democrata","0.070","0.045"
"20200427","OH","    Ohio ","339","11689442","2.13868","36","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200407","OH","    Ohio ","332","11689442","2.13868","74","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200428","WA","    Washington ","165","7535591","2.12326","171","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200414","WA","    Washington ","202","7535591","2.12326","205","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200409","WA","    Washington ","278","7535591","2.12326","240","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200417","MO","    Missouri ","172","6126452","2.12195","131","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200411","MO","    Missouri ","225","6126452","2.12195","143","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200414","NC","    North Carolina ","208","10383620","2.11872","467","48207","59","82.46204","0.044","Democrata","0.110","0.034"
"20200409","FL","    Florida ","909","21299325","2.11274","225","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200404","IN","    Indiana ","516","6691878","2.09209","121","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200419","NE","    Nebraska.","149","1929268","2.07333","42","55712","98","9.69612","0.042","Republicano","0.090","0.029"
"20200413","DE","    Delaware ","146","967171","2.06789","13","54758","111","191.59868","0.051","Democrata","0.060","0.037"
"20200407","DE","    Delaware ","255","967171","2.06789","16","54758","111","191.59868","0.051","Democrata","0.060","0.037"
"20200403","DE","    Delaware ","57","967171","2.06789","21","54758","111","191.59868","0.051","Democrata","0.060","0.037"
"20200425","FL","    Florida ","665","21299325","2.06579","153","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200421","WI","    Wisconsin ","121","5813568","2.06414","54","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200415","WI","    Wisconsin ","166","5813568","2.06414","58","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200409","WI","    Wisconsin ","129","5813568","2.06414","68","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200405","WI","    Wisconsin ","155","5813568","2.06414","73","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200425","KS","    Kansas ","279","2911505","2.06079","17","54216","60","13.74942","0.031","Democrata","0.090","0.034"
"20200419","KS","    Kansas ","59","2911505","2.06079","19","54216","60","13.74942","0.031","Democrata","0.090","0.034"
"20200413","KS","    Kansas ","39","2911505","2.06079","20","54216","60","13.74942","0.031","Democrata","0.090","0.034"
"20200501","AL","    Alabama ","139","4887871","2.04588","23","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200421","AL","    Alabama ","206","4887871","2.04588","28","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200408","AL","    Alabama ","250","4887871","2.04588","39","44350","115","37.26366","0.035","Republicano","0.100","0.068"
"20200501","OK","    Oklahoma ","130","3943079","2.02887","35","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200430","OK","    Oklahoma ","145","3943079","2.02887","37","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200416","OK","    Oklahoma ","94","3943079","2.02887","41","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200410","OK","    Oklahoma ","110","3943079","2.02887","47","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200501","NC","    North Carolina ","414","10383620","2.02242","379","48207","59","82.46204","0.044","Democrata","0.110","0.034"
"20200417","NC","    North Carolina ","394","10383620","2.02242","463","48207","59","82.46204","0.044","Democrata","0.110","0.034"
"20200425","KY","    Kentucky ","298","4468402","2.01414","35","44591","87","43.69293","0.058","Democrata","0.060","0.047"
"20200426","MS","    Mississippi ","193","2986530","2.00902","9","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200410","MS","    Mississippi ","209","2986530","2.00902","11","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200404","MS","    Mississippi ","97","2986530","2.00902","14","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200403","GA","    Georgia ","483","10519475","1.99630","670","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200430","WA","    Washington ","228","7535591","1.99055","175","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200412","WA","    Washington ","236","7535591","1.99055","212","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200407","MD","    Maryland ","326","6042718","1.98586","260","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200501","NV","    Nevada ","229","3034392","1.97733","191","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200416","NV","    Nevada ","110","3034392","1.97733","213","51296","46","10.67202","0.063","Democrata","0.110","0.04"
